City,Country,Population
Kajuru,Botswana,21722
Leon,Spain,5629
Osh,kyrgyzstan,5679
Shumikhinskiy,Russia,10085
Bundoran,Ireland,23421
La Paloma,Uruguay,22154
Tutup,Indonesia,11558
Ondores,Peru,13288
Heredia,Costa Rica,5835
Gaio,Portugal,9942
Ise,Japan,18354
Volovo,Russia,8184
Caujul,Peru,4672
Kutloanong,South Africa,10733
Kobuleti,Georgia,16577
Senlis,France,13265
Wufeng,China,38745
Picton,New Zealand,10120
Johor Bahru,Malaysia,16567
Fort Worth,United States,24397
Santa Cruz,Philippines,15170
Lope de Vega,Philippines,5589
Maubin,Myanmar,17693
El Crucero,Nicaragua,2545
Itzer,Morocco,21997
Erqu,China,11174
Los Cerrillos,Uruguay,21758
Uptar,Russia,5860
Ponta do Sol,Cape Verde,13204
Boca de Uchire,Venezuela,24943
Pagsanahan Norte,Philippines,7476
Khlong Luang,Thailand,18560
Dazhipo,China,16422
Berezovo,Ukraine,20559
Mahajanga,Madagascar,8519
Hexi,China,24805
Tuwa,Indonesia,20119
Bawshar,Oman,5283
Sundbyberg,Sweden,19947
Lattes,France,16254
Ciyun,China,9746
Bureng,Gambia,4187
Dahewan,China,3515
Lobitos,Peru,22829
Esso,Russia,4431
Heshang,China,11071
Luknovo,Russia,5972
Ancahuasi,Peru,23638
Ciudad Nueva,Dominican Republic,5217
Claveria,Philippines,19156
Tiexi,China,24196
Lisieux,France,3106
Rennes,France,5428
Ivoti,Brazil,20167
Santa Marta,Panama,15519
Utkivka,Ukraine,24424
Gombang,Indonesia,20539
Panay,Philippines,13138
Saribudolok,Indonesia,11393
Pervomayskiy,Russia,22345
Pereiras,Portugal,19021
Fika,Nigeria,22267
Sucre,Bolivia,23801
Hengdaohezi,China,19485
Sinegorskiy,Russia,2653
Strazhitsa,Bulgaria,8634
Aizhai,China,10173
Marco,Brazil,2528
Donskoye,Russia,7332
Zhongshangang,China,18425
Colomi,Bolivia,16527
Sabbah,Syria,3103
San Carlos de Bariloche,Argentina,22667
Bagenalstown,Ireland,6901
Bolgar,Russia,5532
Saint-Louis,Senegal,24272
Cawalo,Indonesia,20178
Corroios,Portugal,14050
Khueang Nai,Thailand,22908
Trondheim,Norway,22016
Sicamous,Canada,10667
Hayan Hudong,China,12517
Arroio do Meio,Brazil,21987
Giade,Nigeria,3900
Catarman,Philippines,16041
Carapelhos,Portugal,3507
Bojano,Poland,4002
Kapatagan,Philippines,13997
Lobamba,Swaziland,21675
Laranjal Paulista,Brazil,13299
Bela Vista,Brazil,11913
Buenavista,Mexico,24383
Cikubang,Indonesia,14784
Ban Tak,Thailand,14841
Kinamayan,Philippines,2863
Salima,Malawi,16916
Tiniguiban,Philippines,13234
Essen,Germany,5349
Emmen,Netherlands,22436
San Antonio,Mexico,12620
Trat,Thailand,10021
Manaquiri,Brazil,20120
Chivor,Colombia,20168
Ubay,Philippines,21621
Chartres,France,3695
Heshi,China,24722
Sambirobyong,Indonesia,18096
Tekik Wetan,Indonesia,15913
Nashville,United States,19734
Cabangan,Philippines,17535
Guacara,Colombia,13034
Si Satchanalai,Thailand,4291
San Antonio,Chile,18899
Shuakhevi,Georgia,21153
Dzyatlava,Belarus,12967
Oakville,Canada,17231
Lanpelan,Indonesia,23458
Arganil,Portugal,15394
Marevo,Russia,17005
Nikita,Ukraine,4779
Bhamdoun,Lebanon,9960
Oliveiras,Portugal,14226
Vreshtas,Albania,13161
Itacoatiara,Brazil,13443
Noeltoko,Indonesia,6955
Gadang,Indonesia,8307
Kyzyl-Kyya,Kyrgyzstan,7193
Waitakere,New Zealand,13518
Hirosaki,Japan,14385
Providencia,Peru,10188
Houilles,France,5470
Pekuncen,Indonesia,17720
Sumberkenanga,Indonesia,21409
Miaoli,Taiwan,11147
Uppsala,Sweden,13966
Pilcomay,Peru,13041
Chrast,Czech Republic,21697
Sarana,Russia,3200
Mogok,Myanmar,3005
Beidu,China,12141
Lanjaghbyur,Armenia,18956
Johanneshov,Sweden,2972
Fresnes,France,19063
Krajan Nglinggis,Indonesia,4962
Fershampenuaz,Russia,12426
Andrushivka,Ukraine,14596
Ban Rangsit,Thailand,11859
Rennes,France,18173
Kastav,Croatia,5611
Panunggangan,Indonesia,3571
Solotcha,Russia,15853
Sezemice,Czech Republic,6255
Bailizhou,China,13471
Obando,Colombia,19698
Ban Pong,Thailand,11250
El Mirador,Mexico,19580
Tarui,Japan,23588
Kliteh,Indonesia,24437
Surazh,Russia,3241
Plumtree,Zimbabwe,7960
Avignon,France,23179
Okcheon,South Korea,9431
Kapchorwa,Uganda,12626
Umanggudang,Indonesia,24666
Cibeureum,Indonesia,21762
Prochnookopskaya,Russia,3587
Barentu,Eritrea,4718
Nong Ki,Thailand,20044
Maketu,New Zealand,23203
Gunungputri,Indonesia,6128
Mopti,Mali,15691
Challans,France,4930
Prince Albert,Canada,9031
Effium,Nigeria,20048
Nkhotakota,Malawi,14258
Nikita,Ukraine,18716
Bendorubuh,Indonesia,4181
Plettenberg Bay,South Africa,8103
Bulalacao,Philippines,2568
Anhua Daying,China,11008
Sam Chuk,Thailand,16102
Bulri,Pakistan,3590
Sexmoan,Philippines,12138
Santa Cruz,Mexico,7305
Bagacay,Philippines,24995
Haapsalu,Estonia,15642
Kwekwe,Zimbabwe,22334
Tingsiqiao,China,21408
Lajedo,Brazil,3517
Sembung,Indonesia,6013
Bulungu,Democratic Republic of the Congo,22762
Arnhem,Netherlands,8531
Cruz,Portugal,15223
Sidi Amar,Morocco,19066
Gucheng,China,13500
Kungshamn,Sweden,11236
Santana do Ipanema,Brazil,15189
Dumalinao,Philippines,15509
Sovetskoye,Russia,6348
Roa,Indonesia,13232
Dingtou,China,13272
Sukowiryo,Indonesia,14500
Gaoshi,China,21095
Magatos,Philippines,12316
Likino-Dulevo,Russia,12321
Lhokkruet,Indonesia,7891
Roermond,Netherlands,20061
Longos,Portugal,8776
Isfahan,Iran,5482
Madrid,Spain,17317
Banjar Kertasari,Indonesia,7830
Klana,Croatia,18615
Alarobia,Madagascar,17492
Cabanilla,Peru,7641
Lusaka,Zambia,11549
Choibalsan,Mongolia,17235
Pandat,Indonesia,18605
Cibeureum,Indonesia,4143
Hampang,Indonesia,10196
Dalupirip,Philippines,24325
Binulasan,Philippines,20967
Inta,Russia,17620
Palu,Indonesia,4157
La Mesa,Mexico,18941
Inashiki,Japan,13596
Stockholm,Sweden,13161
Campos Novos,Brazil,3867
Reserva,Brazil,3912
Arzakan,Armenia,2581
Sintansin,South Korea,19090
Norberg,Sweden,7251
